Seleção,ID_Usuário,Título,Data,Postagem,PRU/N-PRU,Tipo de PRU,Polaridade,Funcionalidade,,Elogio,Ajuda,Crítica,Dúvida,Comparação,Sugestão,Positivo,Negativo,Neutro
,4919,,31/1/2011,"Por gentileza, alguém poderia explicar o significado dos horários? Não estou conseguindo entender.

Grato

Hilton",PRU,Dúvida,Neutro,Visualizar Horários,,0,0,0,1,0,0,0,0,1
,4283,,31/1/2011,ok a matricula deu certo. O sistema estava em teste.,PRU,Elogio,Neutro,-,,1,0,0,0,0,0,0,0,1
,1909,,31/1/2011,"Não consegui realizar a matricula na disciplina de dissertação. Somente na de estudos orientados, e agora?",PRU,Dúvida,Neutro,Matrícula,,0,0,0,1,0,0,0,0,1
,103,,1/2/2011,"Querido! hoje cedo (01/02) depois de várias tentativas frustradas de entrar no sigaa, finalmente consegui.",PRU,Crítica,Negativo,Realizar Login,,0,0,1,0,0,0,0,1,0
,3801,,1/2/2011,"Prof. Vânia,

O problema que não está ofertado no sistema da UFC ""Defesa de tese"". Como podemos fazer?

Ianna.",PRU,Dúvida,Neutro,Matrícula,,0,0,0,1,0,0,0,0,1
,1895,,1/2/2011,Prezado Cícero vá no ícone defesa e lá estará a disciplina de dissertação de mestrado.,PRU,Ajuda,Neutro,Visualizar Disciplina,,0,1,0,0,0,0,0,0,1
,3757,,6/2/2011,"Oi Ianna! Para realizar a matrícula, clique em OPÇÃO DE MATRÍCULA - DEFESA - TESE (NCO0266).
Bjs.",PRU,Ajuda,Neutro,Matrícula,,0,1,0,0,0,0,0,0,1
,935,,7/2/2011,"Já conclui todos os créditos relativos ás disciplinas e neste semestre solicitei matrícula em Dissertação na segunda-feria, 31/01/2011, dentro do calendário acadêmico. Ao acesar hoje o Sigga, minha matrícula foi negada. Gostaria de saber o que aconteceu e as razões para a negativa da minha matrícula !!",PRU,Dúvida,Neutro,Matrícula,,0,0,0,1,0,0,0,0,1
,3751,,8/2/2011,"Prof. Vânia

Boa noite, não consegui efetuar minha matrícula. como devo proceder?
",PRU,Dúvida,Neutro,Matrícula,,0,0,0,1,0,0,0,0,1
,4883,Bom dia,16/2/2011,"Olá professor,
Já estou familiarizada com algumas ferramentas disponíveis do sistema da Turma Virtual, por ter realizado um curso semipresencial, porém por ser um sistema novo, acredito que com o tempo vamos nos aperfeiçoando. 

Até segunda.",PRU,Elogio,Neutro,-,,1,0,0,0,0,0,0,0,1
,155,,20/2/2011,"A partir de amanhã o sistema será aberto e quem for se matricular em atividade de Tese é só clicar em OPÇÃO DE MATRÍCULA - DEFESA - TESE (NCO0266).  

Voces não irão encontrar oferta de disciplinas amanhã, pois ainda não recebi a oferta da UECE, mas não se preocupem que assim que eu tiver alguma novidade eu mando uma mensagem. 

Outra coisa, voces podem se matricular em disciplinas de outros programas que possam ser aproveitadas pelo nosso programa. De repente, podem achar alguma disciplina interessante pra voces. 

Abs
Vania Melo 

",PRU,Ajuda,Neutro,Matrícula,,0,1,0,0,0,0,0,0,1
,1454,,22/2/2011,"Mais detalhes sobre o ajuste.

Para verificar e alterar as matrículas o orientador deve acessar o Portal do Docente, e no menu Ensino escolher as opções Orientações de Pós-Graduação > Analisar Solicitações de Matrículas. Na listagem vai aparecer uma sessão de Solicitações Pendentes e uma de Solicitações Analisadas. Em ambas é possível fazer modificações.

Sds.

Rodrigo",PRU,Ajuda,Neutro,Matrícula,,0,1,0,0,0,0,0,0,1
,6054,Boas Vindas!,22/2/2011,olha só que ferramenta interessante! podiamos criar tópicos de acordo com os temas de nossas pesquisas. Assim quem achar algume coisa relacionada vem e posta. Que tal?,PRU,Elogio,Positivo,Criar Tópicos,,1,0,0,0,0,0,1,0,0
,6057,,23/2/2011,"muito legal Deborah esse portal do aluno..cheio de detalhes!! Taí, gostei!
bj, Monike.",PRU,Elogio,Positivo,-,,1,0,0,0,0,0,1,0,0
,3779,,2/3/2011,"Prof.Vania

Não consta nenhuma disciplina para efetuar a matricula. 
Como devo proceder?

Evaldo",PRU,Dúvida,Neutro,Matrícula,,0,0,0,1,0,0,0,0,1
,3754,,14/3/2011,"profa Sueli, o sistema continua com a mensagem..Não é permitido solicitar matrículas fora do período oficial definido pelo calendário do seu programa de pós-graduação.

a matrícula começaria hoje.",PRU,Dúvida,Neutro,Matrícula,,0,0,0,1,0,0,0,0,1
,3754,,21/3/2011,"Profa Sueli,

Estou matriculada no sistema do Renorbio em Estágio a Docência I e esta disciplina não consta no SI3. O que fazer?
Obrigada, Lana",PRU,Dúvida,Neutro,-,,0,0,0,1,0,0,0,0,1
,3754,,22/3/2011,"Profa Sueli,

Quando fui confirmar minha matrícula surgiu o seguinte:

# Ocorreram choque de horários com as turmas:
RNA0311 - Turma 01 (5M12) e NCO0122 - Turma 01 (5M12)
# Ocorreram choque de horários com as turmas:
NCO0122 - Turma 01 (5M12) e RNA0311 - Turma 01 (5M12)

",PRU,Dúvida,Neutro,Matrícula,,0,0,0,1,0,0,0,0,1
,6106,,22/3/2011,"Profa Sueli,

Estou matriculado no sistema do Renorbio em Avanços em Bioquímica e Biofísica (NCO002) e esta disciplina não consta no SI3. O que fazer?

Gostaria de saber se existe e quando será o periodo do reajuste?

Desde já agradeço,

Leonardo Freire",PRU,Dúvida,Neutro,Matrícula,,0,0,0,1,0,0,0,0,1
,3836,,22/3/2011,"Profª Sueli
Não encontrei as disciplinas Avanços de Bioquímica e Biofísica (CE) e Bionegócios (Piauí) no SI3 para efetuar a matrícula. 
Como posso proceder?
Obrigada pela atenção",PRU,Dúvida,Neutro,Matrícula,,0,0,0,1,0,0,0,0,1
,6095,,22/3/2011,"Prezada Profa Sueli,

Sou aluno novato, realizei minha matricula em: Seminários I, Avanços em Biologia Celular e Molecular e Bioinformática. Como posso ver a lista de inscritos na turma? pois não consegui visualizar isto.
Também pretendo me inscrever em Avanços em Bioquímica e Biofísica, Quando esta disciplina vai estar  estar disponível neste sistema?
 Atenciosamente,

Jean Parcelli",PRU,Dúvida,Neutro,Matrícula,,0,0,0,1,0,0,0,0,1
,3754,,23/3/2011,"Profa Sueli,

Hoje, dia 23 de março, quando fui realizar minha matrícula novamente deu choque de horários entre as disciplinas não consigo finalizar.

# Ocorreram choque de horários com as turmas:
RNA0311 - Turma 01 (5M12) e NCO0122 - Turma 01 (5M12)
# Ocorreram choque de horários com as turmas:
NCO0122 - Turma 01 (5M12) e RNA0311 - Turma 01 (5M12)

Sempre aparece a mensagem acima.

Lana",PRU,Dúvida,Neutro,Matrícula,,0,0,0,1,0,0,0,0,1
,3754,,24/3/2011,"Profa Sueli,

Continuo com problema em concluir minha matrícula, as disciplinas Bioeletroquímica e Estágio a Docência estão dando choque de horário. Hoje dia 24 tentei finalizar, veja abaixo a mensagem que aparece quando tento confirmar matrícula:

# Ocorreram choque de horários com as turmas:
RNA0311 - Turma 01 (5M12) e NCO0122 - Turma 01 (5M12)
# Ocorreram choque de horários com as turmas:
NCO0122 - Turma 01 (5M12) e RNA0311 - Turma 01 (5M12)

POr favor, o que está acontecendo? 

Obrigada",PRU,Dúvida,Negativo,Matrícula,,0,0,0,1,0,0,0,1,0
,3754,,24/3/2011,"Profa Sueli,

Continuo com problema em concluir minha matrícula, as disciplinas Bioeletroquímica e Estágio a Docência estão dando choque de horário. Hoje dia 24 tentei finalizar, veja abaixo a mensagem que aparece quando tento confirmar matrícula:

# Ocorreram choque de horários com as turmas:
RNA0311 - Turma 01 (5M12) e NCO0122 - Turma 01 (5M12)
# Ocorreram choque de horários com as turmas:
NCO0122 - Turma 01 (5M12) e RNA0311 - Turma 01 (5M12)

POr favor, o que está acontecendo?

Obrigada
Primeira",PRU,Dúvida,Negativo,Matrícula,,0,0,0,1,0,0,0,1,0
,3754,,24/3/2011,"Profa Sueli,

Continuo com problema em concluir minha matrícula, as disciplinas Bioeletroquímica e Estágio a Docência estão dando choque de horário. Hoje dia 24 tentei finalizar, veja abaixo a mensagem que aparece quando tento confirmar matrícula:

# Ocorreram choque de horários com as turmas:
RNA0311 - Turma 01 (5M12) e NCO0122 - Turma 01 (5M12)
# Ocorreram choque de horários com as turmas:
NCO0122 - Turma 01 (5M12) e RNA0311 - Turma 01 (5M12)

POr favor, o que está acontecendo?

Obrigada
",PRU,Dúvida,Negativo,Matrícula,,0,0,0,1,0,0,0,1,0
,3754,,24/3/2011,"Profa Sueli,

Continuo com problema em concluir minha matrícula, as disciplinas Bioeletroquímica e Estágio a Docência estão dando choque de horário. Hoje dia 24 tentei finalizar, veja abaixo a mensagem que aparece quando tento confirmar matrícula:

# Ocorreram choque de horários com as turmas:
RNA0311 - Turma 01 (5M12) e NCO0122 - Turma 01 (5M12)
# Ocorreram choque de horários com as turmas:
NCO0122 - Turma 01 (5M12) e RNA0311 - Turma 01 (5M12)

POr favor, o que está acontecendo?

Obrigada

Lana",PRU,Dúvida,Negativo,Matrícula,,0,0,0,1,0,0,0,1,0
,3754,,24/3/2011,"Profa Sueli,

Continuo com problema em concluir minha matrícula, as disciplinas Bioeletroquímica e Estágio a Docência estão dando choque de horário. Hoje dia 24 tentei finalizar, veja abaixo a mensagem que aparece quando tento confirmar matrícula:

ERRO
# Ocorreram choque de horários com as turmas:
RNA0311 - Turma 01 (5M12) e NCO0122 - Turma 01 (5M12)
# Ocorreram choque de horários com as turmas:
NCO0122 - Turma 01 (5M12) e RNA0311 - Turma 01 (5M12)

Desde o dia 21 de março que tento fazer minha matrícula, avisei do ocorrido e até o momento continua.

Obrigada
Lana

",PRU,"Dúvida, Crítica",Negativo,Matrícula,,0,0,1,1,0,0,0,1,0
,4256,Avanços em bioquímica e biofísica,24/3/2011,"Professora Sueli, tentei fazer minha matrícula na disciplina avanços em bioquímica e biofísica, na qual JÁ ESTOU MATRICULADA PELO RENORBIO, no entanto, aparece a seguinte mensagem: 
O discente não pode cursar a turma 02 do componente NCO0022 - AVANCOS EM BIOQUIMICA E BIOFISICA pois a capacidade de alunos foi excedida (5 vagas).
Como devo proceder? Grata pela atenção, Sarah Escudeiro.",PRU,Dúvida,Neutro,Matrícula,,0,0,0,1,0,0,0,0,1
,3754,Choque de horário disciplinas,24/3/2011,"Profa Sueli,

Continuo com problema em concluir minha matrícula, as disciplinas Bioeletroquímica e Estágio a Docência estão dando choque de horário. Hoje dia 24 tentei finalizar, veja abaixo a mensagem que aparece quando tento confirmar matrícula:

ERRO
# Ocorreram choque de horários com as turmas:
RNA0311 - Turma 01 (5M12) e NCO0122 - Turma 01 (5M12)
# Ocorreram choque de horários com as turmas:
NCO0122 - Turma 01 (5M12) e RNA0311 - Turma 01 (5M12)

Desde o dia 21 de março que tento fazer minha matrícula, avisei do ocorrido e até o momento continua.

Obrigada
Lana",PRU,"Dúvida, Crítica",Negativo,Matrícula,,0,0,1,1,0,0,0,1,0
,3754,Choque horário de disciplina - Parte 5,25/3/2011,"Profa Sueli,

Hoje dia 25, tentei NOVAMENTE realizar minha matrícula e está gerando choque de horários com as disciplinas Bioeletroquímica e Estágio a Docência.

ERRO
# Ocorreram choque de horários com as turmas:
RNA0311 - Turma 01 (5M12) e NCO0122 - Turma 01 (5M12)
# Ocorreram choque de horários com as turmas:
NCO0122 - Turma 01 (5M12) e RNA0311 - Turma 01 (5M12)

Já liguei para o NPD falei do problema e nada foi resolvido, espero que eu não seja prejudicada.

Alguém por favor me ajude!

Lana",PRU,Dúvida,Negativo,Matrícula,,0,0,0,1,0,0,0,1,0
,3754,,25/3/2011,"Profa Sueli,

Hoje dia 25, tentei NOVAMENTE realizar minha matrícula e está gerando choque de horários com as disciplinas Bioeletroquímica e Estágio a Docência.

ERRO
# Ocorreram choque de horários com as turmas:
RNA0311 - Turma 01 (5M12) e NCO0122 - Turma 01 (5M12)
# Ocorreram choque de horários com as turmas:
NCO0122 - Turma 01 (5M12) e RNA0311 - Turma 01 (5M12)

Já liguei para o NPD falei do problema e nada foi resolvido, espero que eu não seja prejudicada.

Alguém por favor me ajude!

Lana",PRU,Dúvida,Negativo,Matrícula,,0,0,0,1,0,0,0,1,0
,3754,,25/3/2011,"Profa Sueli,

Hoje dia 25, tentei NOVAMENTE realizar minha matrícula e está gerando choque de horários com as disciplinas Bioeletroquímica e Estágio a Docência.

ERRO
# Ocorreram choque de horários com as turmas:
RNA0311 - Turma 01 (5M12) e NCO0122 - Turma 01 (5M12)
# Ocorreram choque de horários com as turmas:
NCO0122 - Turma 01 (5M12) e RNA0311 - Turma 01 (5M12)

Já liguei para o NPD falei do problema e nada foi resolvido, espero que eu não seja prejudicada.

Alguém por favor me ajude!

Lana",PRU,Dúvida,Negativo,Matrícula,,0,0,0,1,0,0,0,1,0
,3754,,25/3/2011,"Profa Sueli,

Hoje dia 25, tentei NOVAMENTE realizar minha matrícula e está gerando choque de horários com as disciplinas Bioeletroquímica e Estágio a Docência.

ERRO
# Ocorreram choque de horários com as turmas:
RNA0311 - Turma 01 (5M12) e NCO0122 - Turma 01 (5M12)
# Ocorreram choque de horários com as turmas:
NCO0122 - Turma 01 (5M12) e RNA0311 - Turma 01 (5M12)

Já liguei para o NPD falei do problema e nada foi resolvido, espero que eu não seja prejudicada.

Alguém por favor me ajude!

Lana",PRU,Dúvida,Negativo,Matrícula,,0,0,0,1,0,0,0,1,0
,3754,,25/3/2011,"Profa Sueli,

Hoje dia 25, tentei NOVAMENTE realizar minha matrícula e está gerando choque de horários com as disciplinas Bioeletroquímica e Estágio a Docência.

ERRO
# Ocorreram choque de horários com as turmas:
RNA0311 - Turma 01 (5M12) e NCO0122 - Turma 01 (5M12)
# Ocorreram choque de horários com as turmas:
NCO0122 - Turma 01 (5M12) e RNA0311 - Turma 01 (5M12)

Já liguei para o NPD falei do problema e nada foi resolvido, espero que eu não seja prejudicada.

Alguém por favor me ajude!

Lana",PRU,Dúvida,Negativo,Matrícula,,0,0,0,1,0,0,0,1,0
,3754,,25/3/2011,"Profa Sueli,

Hoje dia 25, tentei NOVAMENTE realizar minha matrícula e está gerando choque de horários com as disciplinas Bioeletroquímica e Estágio a Docência.

ERRO
# Ocorreram choque de horários com as turmas:
RNA0311 - Turma 01 (5M12) e NCO0122 - Turma 01 (5M12)
# Ocorreram choque de horários com as turmas:
NCO0122 - Turma 01 (5M12) e RNA0311 - Turma 01 (5M12)

Já liguei para o NPD falei do problema e nada foi resolvido, espero que eu não seja prejudicada.

Alguém por favor me ajude!

Lana",PRU,Dúvida,Negativo,Matrícula,,0,0,0,1,0,0,0,1,0
,3754,,25/3/2011,"Profa Sueli,

Hoje dia 25, tentei NOVAMENTE realizar minha matrícula e está gerando choque de horários com as disciplinas Bioeletroquímica e Estágio a Docência.

ERRO
# Ocorreram choque de horários com as turmas:
RNA0311 - Turma 01 (5M12) e NCO0122 - Turma 01 (5M12)
# Ocorreram choque de horários com as turmas:
NCO0122 - Turma 01 (5M12) e RNA0311 - Turma 01 (5M12)

Já liguei para o NPD falei do problema e nada foi resolvido, espero que eu não seja prejudicada.

Alguém por favor me ajude!

Lana",PRU,Dúvida,Negativo,Matrícula,,0,0,0,1,0,0,0,1,0
,3754,,25/3/2011,"Profa Sueli,

Hoje dia 25, tentei NOVAMENTE realizar minha matrícula e está gerando choque de horários com as disciplinas Bioeletroquímica e Estágio a Docência.

ERRO
# Ocorreram choque de horários com as turmas:
RNA0311 - Turma 01 (5M12) e NCO0122 - Turma 01 (5M12)
# Ocorreram choque de horários com as turmas:
NCO0122 - Turma 01 (5M12) e RNA0311 - Turma 01 (5M12)

Já liguei para o NPD falei do problema e nada foi resolvido, espero que eu não seja prejudicada.

Alguém por favor me ajude!

Lana",PRU,Dúvida,Negativo,Matrícula,,0,0,0,1,0,0,0,1,0
,3754,,25/3/2011,"Profa Sueli,

Hoje dia 25, tentei NOVAMENTE realizar minha matrícula e está gerando choque de horários com as disciplinas Bioeletroquímica e Estágio a Docência.

ERRO
# Ocorreram choque de horários com as turmas:
RNA0311 - Turma 01 (5M12) e NCO0122 - Turma 01 (5M12)
# Ocorreram choque de horários com as turmas:
NCO0122 - Turma 01 (5M12) e RNA0311 - Turma 01 (5M12)

Já liguei para o NPD falei do problema e nada foi resolvido, espero que eu não seja prejudicada.

Alguém por favor me ajude!

Lana",PRU,Dúvida,Negativo,Matrícula,,0,0,0,1,0,0,0,1,0
,3754,,25/3/2011,"Profa Sueli,

Hoje dia 25, tentei NOVAMENTE realizar minha matrícula e está gerando choque de horários com as disciplinas Bioeletroquímica e Estágio a Docência.

ERRO
# Ocorreram choque de horários com as turmas:
RNA0311 - Turma 01 (5M12) e NCO0122 - Turma 01 (5M12)
# Ocorreram choque de horários com as turmas:
NCO0122 - Turma 01 (5M12) e RNA0311 - Turma 01 (5M12)

Já liguei para o NPD falei do problema e nada foi resolvido, espero que eu não seja prejudicada.

Alguém por favor me ajude!

Lana",PRU,Dúvida,Negativo,Matrícula,,0,0,0,1,0,0,0,1,0
,3754,,25/3/2011,"Profa Sueli,

Hoje dia 25, tentei NOVAMENTE realizar minha matrícula e está gerando choque de horários com as disciplinas Bioeletroquímica e Estágio a Docência.

ERRO
# Ocorreram choque de horários com as turmas:
RNA0311 - Turma 01 (5M12) e NCO0122 - Turma 01 (5M12)
# Ocorreram choque de horários com as turmas:
NCO0122 - Turma 01 (5M12) e RNA0311 - Turma 01 (5M12)

Já liguei para o NPD falei do problema e nada foi resolvido, espero que eu não seja prejudicada.

Alguém por favor me ajude!

Lana",PRU,Dúvida,Negativo,Matrícula,,0,0,0,1,0,0,0,1,0
,3754,,25/3/2011,"Profa Sueli,

Hoje dia 25, tentei NOVAMENTE realizar minha matrícula e está gerando choque de horários com as disciplinas Bioeletroquímica e Estágio a Docência.

ERRO
# Ocorreram choque de horários com as turmas:
RNA0311 - Turma 01 (5M12) e NCO0122 - Turma 01 (5M12)
# Ocorreram choque de horários com as turmas:
NCO0122 - Turma 01 (5M12) e RNA0311 - Turma 01 (5M12)

Já liguei para o NPD falei do problema e nada foi resolvido, espero que eu não seja prejudicada.

Alguém por favor me ajude!

Lana",PRU,Dúvida,Negativo,Matrícula,,0,0,0,1,0,0,0,1,0
,3754,,25/3/2011,"Profa Sueli,

Hoje dia 25, tentei NOVAMENTE realizar minha matrícula e está gerando choque de horários com as disciplinas Bioeletroquímica e Estágio a Docência.

ERRO
# Ocorreram choque de horários com as turmas:
RNA0311 - Turma 01 (5M12) e NCO0122 - Turma 01 (5M12)
# Ocorreram choque de horários com as turmas:
NCO0122 - Turma 01 (5M12) e RNA0311 - Turma 01 (5M12)

Já liguei para o NPD falei do problema e nada foi resolvido, espero que eu não seja prejudicada.

Alguém por favor me ajude!

Lana",PRU,Dúvida,Negativo,Matrícula,,0,0,0,1,0,0,0,1,0
,6144,Falta de vagas,25/3/2011,"Professora, fiz minha matrícula no Renorbio e ao realizar a matrícula no SI3 recebi a seguinte informação: O discente não pode cursar a turma 01 do componente NCO0011 - AVANCOS EM BIOLOGIA CELULAR E MOLECULAR pois a capacidade de alunos foi excedida (7 vagas).
Como devo proceder?",PRU,Dúvida,Neutro,Matrícula,,0,0,0,1,0,0,0,0,1
,3766,,26/3/2011,"Cara Profª Sueli,

Somente para fins de registro, ainda não consegui também realizar minha matrícula via Portal da UFC.

Grata desde já, um abraço,

Gerla Chinelate.",PRU,Crítica,Neutro,Matrícula,,0,0,1,0,0,0,0,0,1
,5106,,27/5/2011,"Prof. Serafim, já configurei o navegador, contudo, quando ele pede o usuário e a senha (eu coloco meu cfp como usuário e minha senha do SI3/SIGAA) e a mesma janela fica insistentemente pedindo usuário e senha. Já entrei no SIGAA pra ter certeza que estava colocando a senha correta e continua do mesmo jeito.",PRU,Crítica,Negativo,,,0,0,1,0,0,0,0,1,0
,8808,,8/6/2011,"Ainda não sei utilizar o sistema, porem creio que foi criado para a melhoria.",PRU,Elogio,Positivo,-,,1,0,0,0,0,0,1,0,0
,8689,,8/6/2011,"Bem, ainda não conheço o programa, mas me parece que na teoria ele será muito útil, vamos ver na prática!!!!",PRU,Elogio,Positivo,-,,1,0,0,0,0,0,1,0,0
,8816,,8/6/2011,"Creio que isso aqui vai ser legal, a interação somente com os alunos!",PRU,Elogio,Positivo,-,,1,0,0,0,0,0,1,0,0
,8837,,8/6/2011,Parece um facebook! kkkkkkkkkkkk,PRU,"Elogio, Comparação",Positivo,-,,1,0,0,0,1,0,1,0,0
,8840,,8/6/2011,até o SIGAA é melhor que o facebook. Gostei da idéia!,PRU,"Elogio, Comparação",Positivo,-,,1,0,0,0,1,0,1,0,0
,8816,,8/6/2011,To achando que isso aqui vai bombar hein! rssss,PRU,Elogio,Positivo,-,,1,0,0,0,0,0,1,0,0
,8872,,8/6/2011,"Segundo esse SIGAA não sou aluna da UFC, não estou matriculada... :/",PRU,Crítica,Neutro,-,,0,0,1,0,0,0,0,0,1
,8938,,8/6/2011,"Gostei dessa plataforma! E penso que ela irá melhorar no próximo semestre, já que mais dados serão lançados! Gostei principalmente de ver essas figuras: Stefanie e Nathan (que sempre chamo de Renan!).",PRU,Elogio,Positivo,-,,1,0,0,0,0,0,1,0,0
,9042,,8/6/2011,"A plataforma parace muito mais interativa que o Módulo acadêmico. Eu pelo menos nunca recebi um aviso na caixa de avisos do módulo, aqui devo receber vários. Gostei :)",PRU,"Elogio, Comparação",Positivo,-,,1,0,0,0,1,0,1,0,0
,8872,,8/6/2011,"Só não gostei da exposição dos nossos números de matrícula.

P.S.: Bem-vindos, Bruno e Adrian!!",PRU,Crítica,Negativo,-,,0,0,1,0,0,0,0,1,0
,9100,,9/6/2011,acho que no momento ainda não dá para formular uma opinião a respeito desse novo sistema!!! Mais uma coisa eu concordo com o Romulo: parece um facebook!!,PRU,"Elogio, Comparação",Neutro,-,,1,0,0,0,1,0,0,0,1
,9478,,9/6/2011,"É realmente está muito legal,mas vamos ver se 
ele não vai ser que nem os sistemas anteriores
que sempre ficavam congestionado nos períodos 
de matriculas.",PRU,Elogio,Positivo,-,,1,0,0,0,0,0,1,0,0
,9652,,9/6/2011,kkk...tem ateh comunidade nesse novo sistema!!!,PRU,Elogio,Positivo,Criar comunidade,,1,0,0,0,0,0,1,0,0
,9765,,10/6/2011,"Estou achando a plataforma super leve e de fácil manuseio, bem intuitiva mesmo. Já era tempo de criar algo do tipo, pois esse tipo de plataforma é comum em outras instituições de ensino.",PRU,Elogio,Positivo,-,,1,0,0,0,0,0,1,0,0
,9776,,10/6/2011,"VAMOS DESCOBRINDO AOS POUCOS AS POSSIBILIDADES, DESAFIOS E LIMITAÇÕES DESSA FERRAMENTA. PARECE-ME QUE VAI DAR CERTO...
BEM-VINDOS.",PRU,Elogio,Positivo,-,,1,0,0,0,0,0,1,0,0
,9781,,10/6/2011,"Particularmente, eu gostei. espero que seja menos problemático que o Módulo. Mas confesso que ainda não estou acostumando-me e tentando descobrir o que será possível fazer. Mas, de início, acho bacana que os alunos possam comunicar-se!",PRU,"Elogio, Comparação",Positivo,-,,1,0,0,0,1,0,1,0,0
,8878,,10/6/2011,"Até agora ta tudo muito bonito... ta chegando período de matrícula, ai a gente vê se é bom mesmo!! (trauma do sofia/modulo)",PRU,"Elogio, Comparação",Neutro,-,,1,0,0,0,1,0,0,0,1
,9987,,10/6/2011,Gostei! Tomara que dê certo!,PRU,Elogio,Positivo,-,,1,0,0,0,0,0,1,0,0
,10104,,10/6/2011,Acabei de chegar aqui e ainda estou bem perdida!!!,PRU,Crítica,Negativo,-,,0,0,1,0,0,0,0,1,0
,10156,,10/6/2011,"Interessante, só não pode ser esquecido, como muitos sistemas da UFC.",PRU,Elogio,Positivo,-,,1,0,0,0,0,0,1,0,0
,10213,,10/6/2011,"Gostei muito dessa plataforma, é mais bonitinha ! ! ! ! ! hehehehe
Espero, como todo mundo, que essa plataforma seja mesmo uma melhora na nossa vida acadêmica",PRU,Elogio,Positivo,-,,1,0,0,0,0,0,1,0,0
,8768,,10/6/2011,Esse povo da Letras tão tecnologicamente avançadoo! Gosteiii muito... Espero que não tenha problema na hora da matrícula!,PRU,Elogio,Positivo,-,,1,0,0,0,0,0,1,0,0
,10236,,10/6/2011,Então... essa plataforma parece rede social! adorei!! posso add alguém?! hihi Espero q com tanta interatividade ela venha contribuir com melhorias  e não com dores de cabeça...,PRU,Elogio,Positivo,-,,1,0,0,0,0,0,1,0,0
