N°,Data,ID,Postagem,Emojis da Postagem,PRU/Não-PRU,Tipo,Analise de Sentimento,Artefato
14,Wed Mar 20 15:25:36 +0000 2019,1108389132097732608,Reflexo alinhado no meu mano. Tmj cria❤️📏💈 {User} Seguem aí Twitter novo❤️☺️ {URL},❤(2)📏(1)💈(1)☺(1),Não-PRU,,,Twitter for iPhone
15,Wed Mar 20 14:46:10 +0000 2019,1108379205899816960,"Meu que empenho, ter que fazer um Twitter novo e seguir todo mundo 😑😑",😑(2),Não-PRU,,,Twitter for iPhone
16,Wed Mar 20 12:47:47 +0000 2019,1108349415562059776,Twitter novo é uma merda 😡,😡(1),PRU,Crítica,Negativa,Twitter Web App
17,Wed Mar 20 12:32:12 +0000 2019,1108345494282141696,Não queria twitter novo 😑😢,😑(1)😢(1),PRU,Crítica,Neutra,Twitter for Android
18,Wed Mar 20 04:39:20 +0000 2019,1108226494231392256,{User} Me sigam nesse twitter novo ❤️,❤(1),Não-PRU,,,Twitter for Android
19,Wed Mar 20 04:32:26 +0000 2019,1108224758762622978,"Twitter novo, me seguem de volta 🤗",🤗(1),Não-PRU,,,Twitter for Android
20,Wed Mar 20 02:38:47 +0000 2019,1108196153760321541,"Oi genty, fiz um Twitter novo me sigammmmmm 🌠{User}",🌠(1),Não-PRU,,,Twitter for Android
21,Wed Mar 20 02:29:20 +0000 2019,1108193777355800576,Twitter Novo 🚩,🚩(1),Não-PRU,,,Twitter for Android
22,Wed Mar 20 01:37:50 +0000 2019,1108180818562813952,{User} Twitter novo da minha irmã ❤😝,❤(1)😝(1),Não-PRU,,,Twitter for Android
23,Wed Mar 20 01:00:37 +0000 2019,1108171452581326849,"Hora acho Twitter legal, hora acho tedioso 😴",😴(1),PRU,"Elogio, Crítica",Positiva,Twitter for iPhone
24,Wed Mar 20 00:14:12 +0000 2019,1108159768214962177,Twitter novo é horrível😑,😑(1),PRU,Crítica,Negativa,Twitter for Android
25,Tue Mar 19 23:59:07 +0000 2019,1108155974500667393,"Salve,  Twitter  Novo 😒 {URL}",😒(1),Não-PRU,,,Twitter for Android
26,Tue Mar 19 23:29:21 +0000 2019,1108148482249015297,"Twitter novo, o outro me bloquearam 😢",😢(1),Não-PRU,,,Twitter for Android
27,Tue Mar 19 23:08:30 +0000 2019,1108143235640250369,"Twitter Novo, me sigam 🤟😏🇪🇸",🤟(1)😏(1),Não-PRU,,,Twitter for Android
28,Tue Mar 19 21:39:30 +0000 2019,1108120838354714625,Twitter novo .😊,😊(1),Não-PRU,,,Twitter for Android
29,Tue Mar 19 21:37:32 +0000 2019,1108120344202829825,Twitter novo segue aí gente!!!😎 {URL},😎(1),Não-PRU,,,Twitter for Android
30,Tue Mar 19 21:22:26 +0000 2019,1108116542162722819,Twitter novo galeris 🤦,🤦(1),Não-PRU,,,Twitter for Android
31,Tue Mar 19 20:32:45 +0000 2019,1108104038455955456,"{User} Sigam meu twitter novo, bloquearam esse aí 😭",😭(1),Não-PRU,,,Twitter for Android
32,Tue Mar 19 20:30:06 +0000 2019,1108103372358471680,Osh agora geral de Twitter novo q Porra e essa 🤷‍♂️,🤷(1)♂(1),Não-PRU,,,Twitter for iPhone
33,Tue Mar 19 20:24:35 +0000 2019,1108101986229145601,twitter novo .. {User}  🤧,🤧(1),Não-PRU,,,Twitter for Android
34,Tue Mar 19 18:04:48 +0000 2019,1108066808941158400,Odeio quando faço um Twitter novo kkkkk🙄🙄,🙄(2),PRU,Crítica,Neutra,Twitter for Android
35,Tue Mar 19 17:08:08 +0000 2019,1108052545027670017,{User}  twitter novo ✌️,✌(1),Não-PRU,,,Twitter for Android
36,Tue Mar 19 16:52:41 +0000 2019,1108048660095516673,Twitter novo perdi o outro mais blz🤙,🤙(1),Não-PRU,,,Twitter Web App
37,Tue Mar 19 16:42:25 +0000 2019,1108046075892510721,Twitter novo😘,😘(1),Não-PRU,,,Twitter for Android
38,Tue Mar 19 16:11:04 +0000 2019,1108038183789477888,twitter novo Jae rapaziada 😌😴 {URL},😌(1)😴(1),Não-PRU,,,Twitter for Android
39,Tue Mar 19 15:31:06 +0000 2019,1108028126712483840,"Twitter novo , hackearam o outro , segue aí pfvr 😁",😁(1),Não-PRU,,,Twitter for Android
40,Tue Mar 19 14:40:48 +0000 2019,1108015470878158848,Twitter &amp; Bom DMS 😂,😂(1),Não-PRU,,,Twitter for Android
41,Tue Mar 19 14:01:41 +0000 2019,1108005625747906560,Gente Twitter novo me sigammm 🥰♥️,♥(1),Não-PRU,,,Twitter for iPhone
42,Tue Mar 19 13:40:13 +0000 2019,1108000222586814465,Twitter novo do manin. 😏🍃 {URL},😏(1)🍃(1),Não-PRU,,,Twitter Web App
43,Tue Mar 19 13:11:33 +0000 2019,1107993008702668800,Twitter novo pq o outro foi suspenso migos🌸,🌸(1),Não-PRU,,,Twitter for Android
44,Tue Mar 19 12:51:20 +0000 2019,1107987921225830401,"gente a gabriella ta com twitter novo e é pra vcs seguirem ela, inclusive ela ta mais chata a cada dia....😭😓 {User}",😭(1)😓(1),Não-PRU,,,Twitter for Android
45,Tue Mar 19 12:48:06 +0000 2019,1107987109565083648,"gente a gabriella ta com twitter novo e é p vcs seguirem ela, inclusive ela ta mais gata a cada dia.... 😰➡️ {User}",😰(1)➡(1),Não-PRU,,,Twitter for iPhone
46,Tue Mar 19 11:50:25 +0000 2019,1107972590440722434,twitter novo 😴,😴(1),Não-PRU,,,Twitter for Android
47,Tue Mar 19 10:19:46 +0000 2019,1107949778028122113,"Só tenho aqur agradecer por tudo sempre , galera do twitter bom dia com Jesus  a todos 🙌🙌🙌",🙌(3),Não-PRU,,,Twitter for Android
48,Tue Mar 19 10:04:47 +0000 2019,1107946008594575360,"Tive que fazer um twitter novo, pq não consegui recuperar o outro 😩",😩(1),PRU,Crítica,Negativa,Twitter for iPhone
49,Tue Mar 19 06:41:47 +0000 2019,1107894919836794880,Twitter novo!👏🏽👏🏽,👏(2),Não-PRU,,,Twitter for iPhone
50,Tue Mar 19 01:31:02 +0000 2019,1107816720092270593,Twitter novo🍃🤙 perdi outra conta,🍃(1)🤙(1),Não-PRU,,,Twitter for Android
51,Tue Mar 19 00:37:53 +0000 2019,1107803342619713536,Twitter Novo bebês 😍,😍(1),Não-PRU,,,Twitter for Android
52,Tue Mar 19 00:14:00 +0000 2019,1107797332333072385,Só a Andri p fazer eu criar um Twitter novo 🤪,🤪(1),Não-PRU,,,Twitter for Android
53,Mon Mar 18 23:33:44 +0000 2019,1107787199221764101,Twitter novo é um saco 💔,💔(1),PRU,Crítica,Negativa,Twitter for Android
54,Mon Mar 18 23:31:29 +0000 2019,1107786630763634689,Gente perfil no Twitter novo porquê minha outra conta foi excluída 🙂,🙂(1),Não-PRU,,,Twitter for Android
55,Mon Mar 18 22:29:25 +0000 2019,1107771014111526912,"Twitter novo galera, perdi o outro 😤Que RAIVAAAAA",😤(1),Não-PRU,,,Twitter for iPhone
56,Mon Mar 18 21:40:28 +0000 2019,1107758692659875840,Twitter novo perdi o outro 😒,😒(1),Não-PRU,,,Twitter for Android
57,Mon Mar 18 21:37:35 +0000 2019,1107757968467075072,RAPAZIADA TO COM TWITTER NOVO 🥺🥺🥺 QUERIA NÃO MASSS INFELIZMENTE NÃO CONSEGUI RECUPERAR O OUTRO 💔💔💔,💔(3),PRU,Crítica,Negativa,Twitter for iPad
58,Mon Mar 18 20:54:34 +0000 2019,1107747145107558402,Twitter novo é uoor😤,😤(1),Não-PRU,,,Twitter for Android
59,Mon Mar 18 19:03:46 +0000 2019,1107719260896481280,Twitter novo 😘,😘(1),Não-PRU,,,Twitter Web App
60,Mon Mar 18 18:26:28 +0000 2019,1107709873746268160,HOJE É ANIVERSÁRIO DE UMA DAS MELHORES PESSOAS DO TWITTER!! FELIZ ANIVERSÁRIO {User} TUDO DE MELHOR PRA VC AMIGA ♥️♥️♥️♥️♥️♥️,♥(6),Não-PRU,,,Twitter for iPhone
61,Mon Mar 18 16:57:32 +0000 2019,1107687491161739270,Twitter novo rapaziada!É isso 🔥,🔥(1),Não-PRU,,,Twitter for Android
62,Mon Mar 18 15:19:04 +0000 2019,1107662710668476417,Twitter novo ♥♥,♥(2),Não-PRU,,,Twitter Web App
63,Mon Mar 18 15:08:36 +0000 2019,1107660079380287492,"oi gente do meu twitter novo, vim compartilhar minhas frustrações, paranoias e dores c vcs ✊🏽",✊(1),Não-PRU,,,Twitter for Android
64,Mon Mar 18 14:52:29 +0000 2019,1107656020128686080,Twitter novo 🔥,🔥(1),Não-PRU,,,Twitter for iPhone
65,Mon Mar 18 14:34:47 +0000 2019,1107651565811363841,"Twitter novo, o meu outro foi hackeado 😣",😣(1),Não-PRU,,,Twitter Web App
66,Mon Mar 18 10:11:44 +0000 2019,1107585368960962560,Twitter novo seguem 😂😂😎,😂(2)😎(1),Não-PRU,,,Twitter for Android
67,Mon Mar 18 04:21:57 +0000 2019,1107497340930351104,Twitter novo 😍,😍(1),Não-PRU,,,Twitter for Android
68,Mon Mar 18 03:54:06 +0000 2019,1107490335285039104,"Eaai, tô de Twitter novo! 😎",😎(1),Não-PRU,,,Twitter for Android
69,Mon Mar 18 01:14:39 +0000 2019,1107450207002914816,"Twitter novo, brota lá 😅 {URL}",😅(1),Não-PRU,,,Twitter for Android
70,Mon Mar 18 00:58:19 +0000 2019,1107446097251876864,Twitter novo 😓,😓(1),Não-PRU,,,Twitter for Android
71,Mon Mar 18 00:55:49 +0000 2019,1107445469649817601,Twitter novo perdi a outra conta 🤦‍♂️,🤦(1)♂(1),Não-PRU,,,Twitter for iPhone
72,Mon Mar 18 00:48:08 +0000 2019,1107443534133690368,To De Twitter Novo 🤑,🤑(1),Não-PRU,,,Twitter for Android
73,Sun Mar 17 23:26:47 +0000 2019,1107423060037120006,Twitter lindo que não manda notificação depois que eu silencio a pessoa ❤️Minha mania de me auto stalkear e acabar… {URL},❤(1),PRU,Elogio,Positiva,Twitter for Android
74,Sun Mar 17 22:00:02 +0000 2019,1107401229435633664,Twitter novo!! 😉,😉(1),Não-PRU,,,Twitter for iPhone
75,Sun Mar 17 21:35:35 +0000 2019,1107395076135837697,"Boa noite, queridos amigos do Twitter... Bom descanso!🙏 #GodBless Gratidão a Deus por mais um lindo dia... Paz&amp;B… {URL}",🙏(1),Não-PRU,,,Twitter Web Client
76,Sun Mar 17 21:20:59 +0000 2019,1107391404706328581,fazer um twitter novo pra falar da minha vida pq os 2 q eu ja tenho gente conhecida me segue 🤩,🤩(1),Não-PRU,,,Twitter for iPhone
77,Sun Mar 17 21:17:06 +0000 2019,1107390424732368896,Twitter novo ✌️,✌(1),Não-PRU,,,Twitter for Android
78,Sun Mar 17 19:32:48 +0000 2019,1107364177503571968,Twitter Novo👊,👊(1),Não-PRU,,,Twitter for Android
79,Sun Mar 17 19:03:32 +0000 2019,1107356810804121600,Twitter novo 😏,😏(1),Não-PRU,,,Twitter for Android
80,Sun Mar 17 18:42:50 +0000 2019,1107351605408657408,{User} {User} Estadão ajudou demais a qualificar minha lista no Twitter. Bom trabalho 👍🏻,👍(1),Não-PRU,,,Twitter for iPhone
81,Sun Mar 17 17:58:15 +0000 2019,1107340383477030913,Twitter novo 😊💕,😊(1)💕(1),Não-PRU,,,Twitter for Android
82,Sun Mar 17 17:17:18 +0000 2019,1107330077862359041,Twitter novo😎,😎(1),Não-PRU,,,Twitter for Android
83,Sun Mar 17 17:10:02 +0000 2019,1107328250605436935,Ta com ela mas ela me chama no Twitter direto — Fazer oqe neh 😂😂😂 {URL},😂(3),Não-PRU,,,Twitter for Device not cataloged
84,Sun Mar 17 16:58:39 +0000 2019,1107325383488229377,vamos de twitter  novo agora galera ✌,✌(1),Não-PRU,,,Twitter for Android
85,Sun Mar 17 15:44:38 +0000 2019,1107306757318160384,"{User} hakeram meu twitter, esse aqui é meu twitter novo. Quem puder seguir já vou agradecer, tmj 😉🐦",😉(1)🐦(1),Não-PRU,,,Twitter Web App
86,Sun Mar 17 12:50:28 +0000 2019,1107262926820466689,Twitter Novo Rapaziada perdi a senha do antigo🤝,🤝(1),Não-PRU,,,Twitter for Android
87,Sun Mar 17 12:39:43 +0000 2019,1107260221498503168,Twitter novo😔,😔(1),Não-PRU,,,Twitter for Android
88,Sun Mar 17 06:31:51 +0000 2019,1107167646892605450,Criei um twitter novo porque o próprio Twitter excluiu o meu {User} aff 😭😭,😭(2),PRU,Crítica,Negativa,Twitter for iPhone
89,Sun Mar 17 06:02:05 +0000 2019,1107160156444463104,Twitter novo! 🤙🏼,🤙(1),Não-PRU,,,Twitter for iPhone
90,Sun Mar 17 05:58:31 +0000 2019,1107159256237817856,Twitter Novo Chama Fiiioooo!!!👏✌🔥,👏(1)✌(1)🔥(1),Não-PRU,,,Twitter for Android
91,Sun Mar 17 04:48:32 +0000 2019,1107141645227696128,Twitter novo uor😪,😪(1),Não-PRU,,,Twitter for Android
92,Sun Mar 17 03:36:29 +0000 2019,1107123512110694401,"Twitter novo,antigo bloqueado😑",😑(1),Não-PRU,,,Twitter Web App
93,Sun Mar 17 03:15:24 +0000 2019,1107118205783412737,Twitter novo galera!❤,❤(1),Não-PRU,,,Twitter for Android
94,Sun Mar 17 01:34:49 +0000 2019,1107092893007777792,✨Twitter novo tá genti✨,✨(2),Não-PRU,,,Twitter for iPhone
95,Sun Mar 17 01:10:44 +0000 2019,1107086835430449152,"Twitter novo, pedir a conta do outro uor 🙄",🙄(1),Não-PRU,,,Twitter for iPhone
96,Sat Mar 16 23:34:37 +0000 2019,1107062644148703233,vou ficar uma semana sem mexer no twitter triste 😔,😔(1),Não-PRU,,,Twitter for Android
97,Sat Mar 16 21:48:27 +0000 2019,1107035929041084416,"{User} Tu vives para falar mal de mim ou para mim no twitter maldito ruivinho(acho q és o ruivinho, espero n estar errada 😬)",😬(1),Não-PRU,,,Twitter for Android
98,Sat Mar 16 20:57:08 +0000 2019,1107023014972063744,Twitter novo .. 😉,😉(1),Não-PRU,,,Twitter for iPhone
99,Sat Mar 16 19:47:47 +0000 2019,1107005561055383554,Twitter novo ❤,❤(1),Não-PRU,,,Twitter for Android
100,Sat Mar 16 18:57:49 +0000 2019,1106992984254484481,"Meu twitter querido ,meus amigos incríveis,eu amo vcs😍😍😍😍😍",😍(5),Não-PRU,,,Twitter for Android
101,Sat Mar 16 18:49:37 +0000 2019,1106990921068040192,{User} Segui aqui Por favor vida Twitter novo ❤,❤(1),Não-PRU,,,Twitter for Android
102,Sat Mar 16 18:19:18 +0000 2019,1106983292740554753,"Tem alguém tentando hackear meu Twitter direto, te contar viu 🤬",🤬(1),Não-PRU,,,Twitter for iPhone
103,Sat Mar 16 18:15:06 +0000 2019,1106982236761583616,- twitterlindo demais😔✊ {URL},😔(1)✊(1),PRU,Elogio,Positiva,Twitter for Android
104,Sat Mar 16 16:53:58 +0000 2019,1106961819137118208,Pausa de Twitter. Bom fim de semana a todos! 🙌 {URL},🙌(1),Não-PRU,,,Twitter for Android
105,Sat Mar 16 15:38:28 +0000 2019,1106942820085051393,Twitter novo 🤯,🤯(1),Não-PRU,,,Twitter for Android
106,Sat Mar 16 13:04:32 +0000 2019,1106904079815577600,De Twitter novo 😙,😙(1),Não-PRU,,,Twitter for Android
107,Sat Mar 16 12:49:05 +0000 2019,1106900193251721216,"- pai, o que era o twitter?- bom filho, tudo começou com ""Vasco""...""📷março de 2030"" {URL}",📷(1),Não-PRU,,,Twitter for Android
108,Sat Mar 16 11:50:41 +0000 2019,1106885496041549825,#SabadoDetremuraSDV até  que eu aprendi a usar o Twitter rapido😂😂😂😂 #SDVcomTeamDetremura #Sdvtodos,😂(4),PRU,Elogio,Positiva,Twitter for Android
109,Sat Mar 16 03:49:01 +0000 2019,1106764279133466624,{User} twitter novo do pretin 💖,💖(1),Não-PRU,,,Twitter for Android
110,Sat Mar 16 03:24:28 +0000 2019,1106758100109778944,Twitter novo é uor 😖,😖(1),Não-PRU,,,Twitter for Android
111,Sat Mar 16 02:31:49 +0000 2019,1106744850228097028,"{User} Meu nome é João, tenho 16 anos e estou de Twitter novo. Segue aí 😁😁",😁(2),Não-PRU,,,Twitter for Android
112,Sat Mar 16 00:18:40 +0000 2019,1106711343841845249,"🤠Conheci a pouco tempo e já amando,uma amor de pessoa,ícone demais,ótimo gosto musical e pra séries,twitter lindo,fc perfeito eh isso",🤠(1),Não-PRU,,,Twitter for Android
113,Fri Mar 15 23:49:50 +0000 2019,1106704088429969409,Tive que fazer um Twitter novo pq bloquearam o meu antigo... 🤦🏻‍♀️,🤦(1)♀(1),Não-PRU,,,Twitter for Android
114,Fri Mar 15 23:35:45 +0000 2019,1106700543949500419,"ALÔ TROPA, TWITTER NOVO!!🔴",🔴(1),Não-PRU,,,Twitter for Android
115,Fri Mar 15 21:34:53 +0000 2019,1106670123409203205,"Twitter novo, pq bloquearam o meu antigo 🙄",🙄(1),Não-PRU,,,Twitter for iPhone
116,Fri Mar 15 21:20:55 +0000 2019,1106666611925286914,Twitter novo amigos 😘,😘(1),Não-PRU,,,Twitter for iPhone
117,Fri Mar 15 20:30:55 +0000 2019,1106654028308582401,"- Tudo novo WhatsApp novo , Facebook novo É  Twitter novo rs RS 😎",😎(1),Não-PRU,,,Twitter for Android
118,Fri Mar 15 20:28:54 +0000 2019,1106653518302191617,Twitter novo😁,😁(1),Não-PRU,,,Twitter for Android
119,Fri Mar 15 20:20:02 +0000 2019,1106651288060788736,Twitter novo😋,😋(1),Não-PRU,,,Twitter for Android
120,Fri Mar 15 16:15:01 +0000 2019,1106589629631877120,"Eu só doida pra fazer um twitter novo, mas acho que não tenho paciência 😂",😂(1),Não-PRU,,,Twitter for Android
121,Fri Mar 15 15:57:20 +0000 2019,1106585179001368576,Twitter novo ❤,❤(1),Não-PRU,,,Twitter for Android
122,Fri Mar 15 14:38:14 +0000 2019,1106565273493168128,Twitter novo é muito ruim 😭😭😭,😭(3),PRU,Crítica,Negativa,Twitter for Android
123,Fri Mar 15 12:34:02 +0000 2019,1106534014838628353,"Cuidado com a inveja,ela tem TwitterBom diaa a , sextou U 🙏🏽🥰",🙏(1),Não-PRU,,,Twitter for iPhone
124,Fri Mar 15 12:04:05 +0000 2019,1106526477120622592,Twitter novo é tão chato 😬🤣,😬(1)🤣(1),PRU,Crítica,Negativa,Twitter for iPhone
125,Fri Mar 15 10:51:46 +0000 2019,1106508280694738944,twitter novo amigos 🤗,🤗(1),Não-PRU,,,Twitter for Android
126,Fri Mar 15 10:38:26 +0000 2019,1106504925801005057,"Cuidado com a inveja, ela tem Twitter. Bom dia ✌",✌(1),Não-PRU,,,Twitter for Android
127,Fri Mar 15 10:34:18 +0000 2019,1106503883642359808,"Ontem saí do Twitter triste, arrasada, revoltada. Mas eis que acordo e vejo a esperança. Continuemos a luta.💪🏼 Pra… {URL}",💪(1),Não-PRU,,,Twitter for iPhone
128,Fri Mar 15 05:46:01 +0000 2019,1106431333272875009,Twitter novo rapaz Nego Ney 😂😂😂,😂(3),Não-PRU,,,Twitter for Android
129,Fri Mar 15 05:26:56 +0000 2019,1106426531688169472,Twitter novo 😉,😉(1),Não-PRU,,,Twitter for iPhone
130,Fri Mar 15 02:36:12 +0000 2019,1106383565942677505,"Twitter Novo, Pq roubaram meu outro celular e eu não  lembro o email 🤦‍♀️",🤦(1)♀(1),Não-PRU,,,Twitter for Android
131,Fri Mar 15 01:01:34 +0000 2019,1106359750063734784,Twitter Novo 😉😊😎,😉(1)😊(1)😎(1),Não-PRU,,,Twitter for Android
132,Fri Mar 15 00:48:10 +0000 2019,1106356380414459905,"sigam a rainha da minha vida que ta de twitter novo ({User}), perfeita, sem defeitos 💘",💘(1),Não-PRU,,,Twitter for iPhone
133,Fri Mar 15 00:17:31 +0000 2019,1106348664149155840,Twitter novo😉,😉(1),Não-PRU,,,Twitter for Android
134,Fri Mar 15 00:10:41 +0000 2019,1106346947198271489,"Fim de uma era.... infelizmente, Twitter novo. 😓 {URL}",😓(1),PRU,Crítica,Negativa,Twitter for Android
135,Thu Mar 14 23:19:57 +0000 2019,1106334178096959488,Ranço de ter que criar um Twitter novo depois de 10 anos com a mesma conta 😒,😒(1),PRU,Crítica,Negativa,Twitter for iPhone
136,Thu Mar 14 22:34:19 +0000 2019,1106322693882855426,{User} twitter novo galeris💕,💕(1),Não-PRU,,,Twitter for iPhone
137,Thu Mar 14 21:56:15 +0000 2019,1106313116483244032,50. 📱twitter bom dia {URL},📱(1),Não-PRU,,,Twitter for iPhone
138,Thu Mar 14 19:47:20 +0000 2019,1106280671356637184,E eu que tive que fazer um Twitter novo 🙄,🙄(1),Não-PRU,,,Twitter for iPhone
139,Thu Mar 14 19:09:00 +0000 2019,1106271025451405312,"Twitter novo, enjoei do outro 🤘",🤘(1),Não-PRU,,,Twitter Web App
140,Thu Mar 14 18:09:14 +0000 2019,1106255983930732545,Twitter novo!! 👁,👁(1),Não-PRU,,,Twitter for iPhone
141,Thu Mar 14 16:55:35 +0000 2019,1106237447787200512,Twitter novo porque não sou mais a pessoa do twitter anterior 🐱,🐱(1),Não-PRU,,,Twitter Web Client
142,Thu Mar 14 16:31:25 +0000 2019,1106231366507773964,"Tive que fazer um twitter novo, pq o meu velho estava tt sozinho pornografia 👀🤔",👀(1)🤔(1),PRU,Crítica,Negativa,Twitter for iPhone
143,Thu Mar 14 15:38:56 +0000 2019,1106218159776952321,"Twitter novo, galera!!! 😊",😊(1),Não-PRU,,,Twitter for Android
144,Thu Mar 14 14:42:43 +0000 2019,1106204012184027136,"Antes eu achava o Twitter chato, mas é até legal, só que é muito difícil ganhar seguidores 😢 ai vc fica fazendo públicação pro nada kkk SAD😭",😢(1)😭(1),PRU,"Crítica, Elogio",Negativa,Twitter for Android
145,Thu Mar 14 13:21:48 +0000 2019,1106183647684710401,"Toda hr Guri faz um twitter novo já tem 3 , era  igualzinho o Marcelo cr tinha uns 3Tt  e me seguia em todos 😣😣",😣(2),Não-PRU,,,Twitter for Android
146,Thu Mar 14 12:43:53 +0000 2019,1106174106607779842,Twitter novo em rapazinha ✌️,✌(1),Não-PRU,,,Twitter Web App
147,Thu Mar 14 12:31:20 +0000 2019,1106170949836173317,Amei primeira vez que xingo no twitter novo ❤️realmente mt bom desabafar aqui e evitar brigas heheheh,❤(1),Não-PRU,,,Twitter for iPhone
148,Thu Mar 14 09:30:44 +0000 2019,1106125499783360512,{User} {User} Bom dia 😊😊,😊(2),Não-PRU,,,Twitter for Android
149,Thu Mar 14 08:35:52 +0000 2019,1106111689643184128,#Twitter novo Turma Boom diiaa 🍀 {URL},🍀(1),Não-PRU,,,Twitter for Android
150,Thu Mar 14 07:25:22 +0000 2019,1106093951411544064,Twitter novo ✌️,✌(1),Não-PRU,,,Twitter for iPhone
151,Thu Mar 14 05:33:02 +0000 2019,1106065679197847552,twitter novo pq aquele foi bloqueado😂😂,😂(2),Não-PRU,,,Twitter for Android
152,Thu Mar 14 05:09:39 +0000 2019,1106059793943461888,Twitter novo segue ai ❤️😊,❤(1)😊(1),Não-PRU,,,Twitter Web App
153,Thu Mar 14 04:51:26 +0000 2019,1106055212727451648,Twitter novo porq o outro lá tá com vírus 😂,😂(1),Não-PRU,,,Twitter for Android
154,Thu Mar 14 02:20:26 +0000 2019,1106017209653084162,Twitter novo Galera ✌🏻 .. o outro meu Instagram bloqueou 😠,✌(1)😠(1),Não-PRU,,,Twitter for iPhone
155,Thu Mar 14 01:51:02 +0000 2019,1106009810330443777,"{User} vi que você tá no twitter. Bom, boa noite pra você e pra sua irmã. Amo vocês ❤",❤(1),Não-PRU,,,Twitter for Android
156,Thu Mar 14 01:41:51 +0000 2019,1106007498841051136,"Aaaaaai senta e chora com esse Twitter novo, pq o {User}  não responde os meus e-mails 😭",😭(1),Não-PRU,,,Twitter for iPhone
157,Thu Mar 14 01:28:50 +0000 2019,1106004223521710085,"por isso que eu amo Twitter, difícil cair 😒",😒(1),PRU,Elogio,Positiva,Twitter for iPhone
158,Thu Mar 14 01:22:25 +0000 2019,1106002608651755526,Twitter novo..😁,😁(1),Não-PRU,,,Twitter for Android
159,Thu Mar 14 01:08:21 +0000 2019,1105999069011460098,Twitter Novo 😂❤️,😂(1)❤(1),Não-PRU,,,Twitter for Android
160,Thu Mar 14 00:11:58 +0000 2019,1105984881253855234,Nego está conseguindo deixar o Twitter chato 🖕🏽,🖕(1),Não-PRU,,,Twitter for iPhone
161,Wed Mar 13 23:39:48 +0000 2019,1105976786691723271,Manda indiretas pro Crush aqui já que ele não tem twitter...Bom acho que não tem😂,😂(1),Não-PRU,,,Twitter for Android
162,Wed Mar 13 23:35:54 +0000 2019,1105975804301856768,Só as que tiveram que fazer um twitter novo 🙄,🙄(1),Não-PRU,,,Twitter for Android
163,Wed Mar 13 23:30:52 +0000 2019,1105974536510541824,Twitter novo 😚,😚(1),Não-PRU,,,Twitter for Android
164,Wed Mar 13 23:28:44 +0000 2019,1105973999417376770,Twitter novo❤,❤(1),Não-PRU,,,Twitter Web App
165,Wed Mar 13 21:40:32 +0000 2019,1105946770889207809,Criar um twitter novo uma semana antes das p1 ✅ o ano já começou cagado mesmo,✅(1),Não-PRU,,,Twitter Web App
